,One-model US cap 70% / TH cap 30%,One-model US cap 70% / TH cap 30% + daily exposure,One-model US cap 70% / TH cap 40%,One-model US cap 70% / TH cap 40% + daily exposure,One-model US cap 80% / TH cap 30%,One-model US cap 80% / TH cap 30% + daily exposure,One-model US cap 80% / TH cap 40%,One-model US cap 80% / TH cap 40% + daily exposure
2008-09-15,10302.752534621419,9531.47634317797,10257.728318846419,9508.001261858284,10245.290711805232,9511.501989135611,10200.517603435546,9488.076095827615
2008-09-16,10313.199410160678,9536.308748242926,10268.129540335765,9512.82176518863,10252.247902985851,9514.731440578946,10207.444390884008,9491.297593449877
2008-09-17,10288.40240842875,9524.844223261794,10243.440904358795,9501.385476195977,10082.24503106084,9435.844757102313,10038.184451221434,9412.605200110876
2008-09-18,10703.69741168622,9717.081076744787,10656.921020597083,9693.14886936646,10467.82646645923,9616.275135179383,10422.080851038303,9592.591195924115
2008-09-19,10587.378626504898,9664.282542608287,10541.110561910558,9640.480372785296,10388.582322390535,9579.876294662774,10343.183013067683,9556.282002169442
2008-09-22,10405.65219306896,9581.341539922847,10360.178293929292,9557.743645567021,10143.048148310118,9466.666092307592,10098.721851798107,9443.35062540088
2008-09-23,10281.631501591433,9524.243504114236,10236.699587164578,9500.78623656013,10047.251617673546,9421.961889237778,10003.34396310819,9398.756524383583
2008-09-24,10301.31114203877,9533.358482007816,10256.29322531545,9509.87876516678,10069.81701945652,9432.542412335284,10025.810751468875,9409.310988694002
2008-09-25,10435.375597791348,9595.393522924542,10389.771803947979,9571.761019927642,10227.002627071495,9506.161421874991,10182.309439752631,9482.748681858557
2008-09-26,10459.580053388114,9606.521597533965,10413.870483284678,9582.861687192497,10277.230233008748,9529.505100726208,10232.317545227961,9506.034867526172
2008-09-29,9973.035500118904,9383.090028805298,9929.452185778377,9359.98040826747,9696.216365987599,9260.134147471337,9653.842776175252,9237.32734841855
2008-09-30,10366.64804041396,9568.254410402616,10321.34459391589,9544.688748349392,10168.099032684699,9485.464143757812,10123.663260903277,9462.102379100419
2008-10-01,10558.850484588378,9656.95433910631,10512.707091261545,9633.170217922054,10348.198978064549,9569.468615424637,10302.97614863892,9545.89995602098
2008-10-02,10373.107579616748,9572.015606677904,10327.77590418802,9548.440681171123,10206.693610311733,9504.040265114834,10162.089175750974,9480.632749298744
2008-10-03,10105.828796965743,9448.696887613592,10061.66516061606,9425.425683886528,9960.543299211493,9389.437899388693,9917.014570051793,9366.312637920591
2008-10-06,9938.210268395753,9370.337323988233,9894.779144330807,9347.259112098116,9711.641962103422,9272.122830438786,9669.200960647424,9249.286504439739
2008-10-07,9393.822375164706,9113.696638346268,9352.770288923659,9091.250507022525,9096.109440297183,8978.285126650482,9056.358387333534,8956.17249399731
2008-10-08,9368.2542266673,9101.293787850309,9327.313876181437,9078.878203517766,9033.637370879656,8947.453700568602,8994.159328103106,8925.417002683538
2008-10-09,8782.546648810536,8816.785243842693,8744.165907931703,8795.070375848967,8451.092724754079,8658.960204774494,8414.16046962815,8637.634037976975
2008-10-10,8868.51052426121,8859.934745854143,8829.754111340935,8838.113604914639,8530.339973759277,8699.558432590877,8493.061398966343,8678.132276353792
2008-10-13,9281.691520058128,9066.325472401355,9241.129458574871,9043.99601156314,9087.492338153994,8983.660799250243,9047.778942925877,8961.534926844512
2008-10-14,9521.948559931949,9183.666611989138,9480.336547499333,9161.048151556864,9290.811737889853,9084.158959422843,9250.209813309657,9061.78556993931
2008-10-15,9081.057690969039,8971.052842478579,9041.372422438184,8948.958028682906,8807.772324603364,8848.011304204212,8769.281338268482,8826.219523154596
2008-10-16,9264.467869820632,9061.647047598672,9223.981077673616,9039.329109256945,9077.427557886407,8983.45489109516,9037.758146915088,8961.32952582095
2008-10-17,9058.9401317495,8961.132919477033,9019.351519501066,8939.06253746829,8886.19149027642,8888.826728217,8847.35780309471,8866.93442279496
2008-10-20,9197.633640451528,9029.730953489403,9157.438921588246,9007.491621323428,9047.297169901602,8969.403456317381,9007.759432219447,8947.312698344133
2008-10-21,9000.849381833752,8933.134971269286,8961.514632856319,8911.13354543137,8838.562613254271,8865.93473971139,8799.937069787797,8844.098815004087
2008-10-22,8591.296986039719,8729.899327929956,8553.752028225126,8708.398451333593,8412.657496459564,8652.322688972026,8375.893207737914,8631.012869722686
2008-10-23,8606.558363249816,8737.653121499554,8568.946711458228,8716.13314807831,8479.238556320284,8686.561620910665,8442.183300646855,8665.167474541646
2008-10-24,8375.836649725798,8620.535092707749,8339.233278408652,8599.303569380792,8217.11663804021,8552.296133496468,8181.206885543152,8531.232669808976
2008-10-27,8323.1765585618,8593.43581995156,8286.803317911126,8572.271039446883,8125.878800944004,8504.816400896945,8090.367768374242,8483.869875118045
2008-10-28,8979.609672784874,8932.309794177434,8940.367743783461,8910.31040066889,8842.709365357123,8879.945817064012,8804.065700103136,8858.075384452115
2008-10-29,8825.200673764693,8855.511967517037,8786.633529881736,8833.70171944212,8665.192373047166,8790.81356086343,8627.324477632976,8769.162652226447
2008-10-30,8943.32601263977,8914.777495335851,8904.242647414203,8892.82128214127,8794.78216409566,8856.54780215056,8756.347946268428,8834.734996546638
2008-10-31,9167.959320694501,9026.735616761756,9127.894282027963,9004.503661813196,9029.30744755783,8974.633977853424,8989.848327048257,8952.530337620405
2008-11-03,9203.720543620793,9044.340794391586,9163.499224289259,9022.065479635832,9062.262654374572,8991.011807524332,9022.659515789997,8968.867830308685
2008-11-04,9444.584468256806,9162.687250542553,9403.310545819568,9140.120460197708,9261.882962145364,9090.037217217267,9221.407459669512,9067.649350163307
2008-11-05,9063.440504618757,8977.80336560377,9023.832225222299,8955.69192593886,8856.072922846868,8890.8969141374,8817.370857297123,8868.999510051182
2008-11-06,8805.114721934131,8849.860887246552,8766.635355975199,8828.064557222113,8554.867001339726,8739.701750017924,8517.481240592313,8718.176724740793
2008-11-07,8943.703114982116,8919.507225641577,8904.618101775855,8897.53936359014,8712.48714809267,8820.214578107423,8674.412569027618,8798.49125765852
2008-11-10,8931.831989129858,8913.587720518562,8892.798854111496,8891.634437621406,8675.158754596485,8801.319603865511,8637.247304939303,8779.642819878583
2008-11-11,8847.431605474869,8871.47372731595,8808.767309858638,8849.624167009035,8589.5072463441,8757.871044593732,8551.97010370942,8736.301270132224
2008-11-12,8495.89791061803,8695.229248847256,8458.76985775598,8673.813761218615,8214.102558399218,8566.489528037206,8178.2059777796785,8545.391107415826
2008-11-13,8911.97005476986,8908.146277483986,8873.023718693366,8886.20639632158,8650.857962587952,8794.23568592214,8613.052710209566,8772.576348927929
