Date,S&P 500 Buy Hold
2019-06-28,15610.101391096629
2019-07-01,15751.819022729931
2019-07-02,15792.84424926584
2019-07-03,15919.106249607104
2019-07-05,15900.994153622336
2019-07-08,15813.627178920717
2019-07-09,15833.332435272256
2019-07-10,15908.98330504442
2019-07-11,15946.281578072952
2019-07-12,16017.666657686068
2019-07-15,16022.999344415419
2019-07-16,15971.321317276013
2019-07-17,15862.63437239002
2019-07-18,15920.71018670691
2019-07-19,15832.270927068468
2019-07-22,15871.158768219422
2019-07-23,15984.637767060924
2019-07-24,16059.758780792276
2019-07-25,15983.039218327634
2019-07-26,16090.133002846858
2019-07-29,16060.822085118234
2019-07-30,16021.402591804299
2019-07-31,15846.11902901636
2019-08-01,15708.131943134778
2019-08-02,15589.860890337766
2019-08-05,15121.026304209216
2019-08-06,15333.069303374019
2019-08-07,15342.11637075554
2019-08-08,15643.133873966108
2019-08-09,15536.584314465072
2019-08-12,15347.449057484891
2019-08-13,15586.126752341695
2019-08-14,15125.281317635227
2019-08-15,15165.243239845177
2019-08-16,15389.000547817264
2019-08-19,15574.405259045721
2019-08-20,15455.061921311888
2019-08-21,15580.801250101033
2019-08-22,15576.002011656834
2019-08-23,15175.897836570844
2019-08-26,15343.72030785534
2019-08-27,15283.516088764358
2019-08-28,15391.134340957871
2019-08-29,15587.725301074977
2019-08-30,15580.801250101029
2019-09-03,15489.698341281171
2019-09-04,15665.513556232092
2019-09-05,15866.89836642688
2019-09-06,15879.149715763662
2019-09-09,15887.144255552257
2019-09-10,15883.417302044878
2019-09-11,15996.35746423471
2019-09-12,16051.764241003668
2019-09-13,16041.115032644515
2019-09-16,15991.5654102792
2019-09-17,16032.05898465213
2019-09-18,16041.648480929669
2019-09-19,16040.574399870675
2019-09-20,15964.792413179941
2019-09-23,15961.045702328669
2019-09-24,15835.803899381232
2019-09-25,15929.462690052173
2019-09-26,15896.28112904239
